Country,City,Latitude,Longitude
France,Paris,48.8566,2.3522
France,Nice,43.7034,7.2663
France,Toulouse,43.6045,1.4440
France,Marseille,43.2964,5.3700
France,Rennes,48.1147,-1.6794
France,Grenoble,45.1715,5.7224
France,Nantes,47.2181,-1.5528
France,Montpellier,43.6119,3.8772
France,Lyon,45.7600,4.8400
Germany,Berlin,52.5167,13.3833
Germany,Hamburg,53.5500,10.2000
Germany,Munich,48.1372,11.5755
Germany,Cologne,50.9422,6.9578
Germany,Frankfurt,50.1136,8.6797
Germany,Bremen,53.1153,8.7975
Germany,Stuttgart,48.7761,9.1775
Germany,Düsseldorf,51.2311,6.7724
Germany,Dortmund,51.5139,7.4653
Germany,Essen,51.4508,7.0131
United Kingdom,London,51.5072,-0.1275
United Kingdom,Birmingham,52.4800,-1.9025
United Kingdom,Manchester,53.4794,-2.2453
United Kingdom,Leeds,53.7997,-1.5492
United Kingdom,Newcastle,55.0077,-1.6578
United Kingdom,Birstall,52.6736,-1.1200
United Kingdom,Glasgow,55.8609,-4.2514
United Kingdom,Liverpool,53.4000,-2.9833
United Kingdom,Portsmouth,50.8058,-1.0872
United Kingdom,Southampton,50.9000,-1.4000
Italy,Rome,41.8931,12.4828
Italy,Milan,45.4669,9.1900
Italy,Naples,40.8333,14.2500
Italy,Turin,45.0667,7.7000
Italy,Palermo,38.1157,13.3613
Italy,Genoa,44.4072,8.9340
Italy,Bologna,44.4939,11.3428
Italy,Florence,43.7714,11.2542
Italy,Bari,41.1253,16.8667
Italy,Catania,37.5027,15.0873
Spain,Barcelona,41.3825,2.1769
Spain,Madrid,40.4189,-3.6919
Spain,Sevilla,37.3828,-5.9731
Spain,Valencia,39.4667,-0.3750
Spain,Zaragoza,41.6483,-0.8830
Portugal,Lisbon,38.7452,-9.1604
Portugal,Vila Nova de Gaia,41.1333,-8.6167
Portugal,Porto,41.1495,-8.6108
Portugal,Braga,41.5333,-8.4167
Portugal,Matosinhos,41.2077,-8.6674
Switzerland,Zürich,47.3786,8.5400
Switzerland,Geneva,46.2000,6.1500
Switzerland,Basel,47.5606,7.5906
Switzerland,Lausanne,46.5333,6.6333
Switzerland,Bern,46.9480,7.4474
