,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
Affoltern,1.6271993305681969,1.4872397006036149,1.4130524460118101,1.4362719393355752,1.6372438245437924,1.67881534859347,1.5296761875297515,1.6168474287440477,1.5929281718015316,1.5983240727185761,1.2157041080245743,2.1345813272021035,2.1722350239591863,2.034079357186803,1.6133502625944516,1.6810216306680086,1.7598641790731309,1.5291877165907037,1.3458796552808836,1.3095305382645988,1.3424876981324554,1.091860134197819,1.4362962614220758,1.3887238274710907,2.5569310389988074,1.3596661832286665,1.4222933585809479,1.3667423604950164,1.8498114409944442,1.4460578512596993,1.5586298747367113,1.281542361184425,1.309045165400439,1.3784075162914855,1.195430773600084,1.605899820928904,3.022040086742001,1.6273677138919111,1.6926478720435845,1.8837493724887715,1.8894020918472934,1.6751784516667392,1.7335676920865515,1.6136268096525384,1.539634964971452,1.6114017021128733,1.5535976733775168,1.7743738979779782,1.4745114967588844,1.649711834332312,1.6072114988389004,1.8190074967900216,1.7469602553683035,1.783206985476659,1.5361238067118033,1.6719161464431078,1.5473583301453666,1.5354470910452476,1.7034020365981293,1.6403123600163598,1.984224343417356,1.9489607574827423,1.746728348694405,1.580080636518579,1.3614624596256966,1.5899431464867604,1.5344597915056468,1.5166188426478815,1.5841679646483666,1.3787104616473722,1.29119719500554,1.3683161079180812,1.13945372543246,1.5082948080420877,1.4516276281333373,1.3594820637242484,1.7161167668128547,1.6767820663364883,1.5142382410892676,1.4979814458868828,1.263507868835902,1.4627897439301465,1.537117141436165,1.6697292340948686
Andelfingen,0.5289549047008715,0.6037390887075167,0.5604216643515951,0.5564361129100573,0.7653286031558134,0.7763082803170288,0.6269366001662277,0.6857317811520384,0.6444410389626501,0.6898379979241432,0.5419820933133258,1.1064771519835486,0.9232151956920643,0.7532177788297469,0.737734361500122,0.6738480889159028,1.1822831205011028,0.6387536853806859,0.5345400952986447,0.5263336129017357,0.5821703089530408,0.4626659834225099,0.7158641280088333,0.6174497354564251,0.9311032450079494,0.4510778211562722,0.4762964199505026,0.5484376765687737,0.7925807880711032,0.8309277458794301,0.8414026270153083,0.45194666202947587,0.5539381967662179,0.6650195628677916,0.5081693630459044,0.5960398498390616,1.183865505525618,0.7624684399179513,0.8174643334634087,1.2567253613655809,0.9105588716789316,0.8613669551043794,0.9271353980281478,0.8420527285119419,0.7700291821183722,0.8736372936620117,0.8139313137309266,0.6229825525411996,0.8810688804318446,0.6394107452085943,0.7877776454434064,0.888782257754123,0.989327215925356,0.9107240771810701,0.7724001379841249,0.74222353264176,0.665055736716454,0.711105044904903,0.7489473097560071,0.5988215297370003,0.80371488753797,0.7510588164265677,0.7412667563683182,0.7158780827052071,0.861958443219765,0.8550814832733027,0.7977982436273394,0.7473348100212351,0.806907735887221,0.735282420212975,0.8997409608090536,0.7148966591045507,0.57211457276422,0.7437453496194255,0.7770287645780325,0.7130058244316235,1.085814642601893,1.0409815012736248,0.7795266985698082,0.7704628808369913,0.6706501795932459,0.749869536707181,0.8380918699710335,0.6702002295286855
B0lach,3.177254412574986,2.9141257846127817,3.6494580161484116,3.621523458787033,3.7552830562089783,3.99988241489153,3.6899412605307593,3.6999188725966903,3.84960549314927,3.2456518489596515,3.12023458576683,4.826183523276824,3.7375931457000204,3.582472173760858,3.5909450335150837,3.942727320842786,4.050256219513289,4.1084088991079515,3.3745486224700256,3.6649360191872535,3.562873273208272,2.9254068553677257,3.4008280989511888,3.4271096573025885,4.035187079129702,2.7853098140161623,3.1942250175251394,3.586051105628041,3.857473096576396,3.6365416004774334,4.127131869408391,3.617519690829034,3.8757291015939885,3.6557218213258564,3.3139757385914543,3.4252824196876497,5.527306270426231,3.4348397193521265,3.966947036074264,4.100854339876925,4.074208543617128,3.950679325897673,3.915289418533285,3.8436928002796975,3.3352493531490164,3.6879144777727313,3.5963189388201195,2.417460496061813,2.841370475604222,2.672967759524032,3.618848737102693,4.284147389164251,4.192419419979278,4.16113555934103,3.8622880153109,4.114811507844719,3.7704045194572,4.061170879340003,3.3147594114137586,3.3715882724378665,4.326924700381216,4.39554159938639,4.145947840336607,3.6285226976260097,3.786426818938273,4.2631428249689165,4.043230656566041,4.142613889080899,4.277915838761287,3.2399772005733025,3.4668563216706496,3.1982097178544873,2.6042723878492464,3.4272202608584736,3.9407001919715396,3.5903355978308715,3.928208210817562,3.7701041756770315,3.507902711965237,3.573055585517292,3.4926739475711246,3.070894116924224,3.4028981559603393,2.9812885859171065
Dielsdorf,2.0199768486937475,2.296158545283002,2.682877417823077,2.5948823081624974,2.8256615417852116,2.8096480979890837,2.3698264251224157,2.5543191636689078,2.577662449065331,2.460950905702034,2.141547657298734,3.322901529113734,2.811823207562021,2.6481006289909317,2.4743667514675094,2.352806278812507,2.5723687925369187,2.42355548093961,2.1602618679691474,2.1577129253881844,2.2729048673288603,2.250947113621206,2.2398984724010975,2.2594371431030775,3.2626960190472882,2.0674594295588893,2.016825516734443,2.1835936002238596,2.664400165554141,2.5147877544943005,2.5915211948425556,2.2289644278882363,2.2202653542786432,2.296776922685285,1.7452387566580085,2.02799598505251,4.299919302291283,2.6694398011395797,2.449760608172657,2.7598127903705736,2.9195838605135163,2.622239360571671,2.7212084498410603,2.650594432009975,2.5805897236711766,2.3002005929048526,2.321355540391444,1.861965258855915,2.20522037024735,2.1194645712298543,2.3896956003495533,3.0251580424678832,3.0581945160700226,2.87844425781779,2.435651560956374,2.7545307665000456,2.498372071822604,2.4328043068843743,2.2889098640613033,2.20158276941157,3.1533613553508038,2.5026757024617985,2.7333893937073084,2.4062069609927197,2.319827395708032,2.9127094247186776,2.5729452852846837,2.7575540595157095,2.5633889099192904,2.32910774343217,1.867133553840496,2.156995676715056,1.8954126439106023,2.339218070969345,2.372483217900679,2.1722572611872573,2.6790798009923447,2.5752945166790298,2.3315643787301292,2.33873139304594,2.1770566458145972,1.9950175803131567,2.427677042163049,1.8643452468133286
Hinwil,1.619684861845522,1.3894630751240848,1.3284982585169074,1.3200109983532957,1.5065028986649267,1.545428319289945,1.2200356343179606,1.4922766861353751,1.5388151020535166,1.4383821216480726,1.1926290041571987,1.8622164208033587,2.5441566422085105,2.2274048061501546,1.5770855615394506,1.5808363511220096,1.549688458490285,1.594694734957134,1.2615120230684402,1.396390315635631,1.3641540423190748,1.13216460308834,1.3787513501975264,1.3590831898564726,1.6647736440631709,1.1523583993521023,1.3702689521669325,1.326459233163699,1.7638478040186127,1.4168226490727427,1.622773297187472,1.1831914404744523,1.323319568402785,1.372719153367209,1.2489126873102896,1.4554258911346132,3.049371236935383,1.620278520852569,1.5969091006882614,1.9125048370359161,1.8900092208591819,1.558893583964624,1.6148386556665002,1.6284651436124356,1.4698233987928888,1.610386070062547,1.4425080777062078,1.7240745830277147,1.444837851681977,1.899083381469432,1.5528050882676903,1.761143904737796,1.7364247686833125,1.6394044917948305,1.4262523028732081,1.6568480603333497,1.4613382530818637,1.452901986393981,1.496650166815729,1.5475984309194357,2.3242165102743937,1.9753652564174844,1.5910924442653807,1.4636925050757597,1.3249024737554453,1.633297852672337,1.4588369807310788,1.498916498329614,1.523540632865499,1.385587111528952,1.2529981442030123,1.4359125878690497,1.1229773310705453,1.4486035514571065,1.4509563274092723,1.406915018551057,1.7580097511720207,1.671030375120221,1.4649316779596786,1.4910100438172587,1.1954772374739084,1.4959123634762188,1.6057431207245385,1.6000553047340291
Horgen,2.4493230948114992,2.563350753578574,2.6239998618097884,2.1701651121432617,2.7721655387135704,2.665039832268026,2.2434025349776596,2.6421240693390335,2.4915802695178555,2.3343765664904375,1.9471521130300646,2.861422465430125,2.6983007483588737,3.414211954133487,2.5598275136984583,2.650331999828376,2.3557072714844427,2.2203350854237884,2.03509634874405,2.3259625523673244,2.1601539996509795,1.7735353750606115,2.3490981405006877,2.45159505560089,3.3883292099098288,1.633540731013244,2.3312754647479883,2.120288606811137,3.003912172967391,2.089351176308163,2.54756806865623,2.284687654105477,2.34539035257204,2.2072493097652544,1.9325307163753707,2.2084046348650848,4.599634956063292,2.666779578886357,2.8486587357771125,3.2449610345061446,3.0357355871098224,2.7750320366298595,2.5755672788908557,2.4889994937092896,2.141315604076033,2.508807642352248,2.2262158687799545,2.263197447851081,2.1716842785064125,2.6944438772299573,2.7976033934680147,3.144090462559024,2.951979911468618,2.7813692796310625,2.2158338790483256,2.675674709557421,2.453450078914391,2.452472693995545,2.686747806003056,2.5754731091951464,3.0068757942919957,2.755916902429136,3.0896504905059126,2.4245113004838976,2.157188002918731,2.7674674965338073,2.4191046891966557,2.743566137181222,2.697749211642364,2.4774197384967476,2.0264882364490404,2.3285561723038826,2.0357080544743003,2.5647505748577886,2.7879158646017266,2.572997635004559,2.8981728241501514,2.603149939941285,2.4834375256563006,2.4318394843566216,1.849026626080843,2.487826217818804,2.979991025678571,2.167070166230952
Meilen,3.216988868234913,3.036264552610673,3.2361223523228864,2.9315143756662745,3.198699566690836,3.144281107949996,2.7693139995858784,3.1643130093369236,3.0056727169298085,2.908999697713018,2.7279512235709857,3.9196449676557505,3.5314140917761554,3.7928929923673094,3.146890272178997,3.2825287904866602,3.2001411675663594,2.7600618372607677,2.6730957470917787,2.7572084294234394,2.6479559013135066,2.3150326614577463,2.937494475230786,3.0886653009284313,3.970117939008285,2.03501413802049,2.7259431189254246,2.673434192857735,3.573715158671819,2.3994851354843645,3.049036453286635,2.8732957247857955,2.7538937959287275,2.6006486055620206,2.5412359686818946,2.885057395809065,5.416679562824047,3.34251110787839,3.382901527041142,3.769767487344813,3.7040170220863002,3.1695419964550657,3.19920872541078,3.1151680522460095,2.629314259433223,3.096139708072331,2.7980424449941586,3.0551664714222633,2.8156874878060836,2.9751974182361316,3.4407589382823973,3.7426455023151144,3.5314550705437306,3.3749534382563864,2.794339521042843,3.209063907690721,3.016508310453807,3.0706051970133283,3.1935991864300037,3.3210138314490942,4.007903147326771,3.6309565154086507,3.5728565834198873,3.2282606747266875,3.0171235491581507,3.3450332143410275,2.804784133133565,3.186200733266646,3.1697671659342026,2.7701041956538366,2.7988699453759085,2.9511920807630214,2.5807332710673356,3.125317713676408,3.233633034194998,3.0053914551994287,3.4781911727317736,3.260483951607468,2.7988488920411854,2.88085867337936,2.499681423692993,3.0513368913470367,3.5110479867738777,2.902318840028802
Pf8ffikon,1.1567146373011978,1.0221896724961896,0.9421144102329021,1.0172985981018696,1.2958770198311949,1.177634312201343,0.9776423166314262,1.175178571542988,1.068619382149549,1.0295337979757075,1.0186377926542143,1.6318063344380962,2.147574556165136,1.5363631567158407,1.2012934989958983,1.05621905728766,1.2062852927811332,1.1750770586651,0.8098782481564017,0.8365343697974312,0.9758275456292822,0.7260940329053296,1.0317044452571145,0.9588249672985886,1.4836240657389812,0.7391788272460692,0.8985214431200644,0.8370308301921162,1.1854223564033264,1.0708460649139724,1.2278514764169044,0.8126968087522796,0.8929747931991397,0.9777945975352266,0.7765116667444366,0.8739104667631056,1.9484692777083976,1.1517911253346427,1.1341093383398588,1.3648636463903807,1.3152329146435142,1.2249308181088154,1.2668499525400874,1.225270003691108,1.0692002940436307,1.1816151161487212,1.1232026406250495,1.215543607670327,1.0883062030099904,1.111583135407072,1.2251152866220199,1.3157607022882543,1.247933189528856,1.2694241697869404,1.0572035097460795,1.1790798664670477,1.1194565099083653,1.1151008083582106,1.15982493677328,1.0836432856883567,1.5550939512461572,1.4727140625227262,1.1948830820935,1.136641797632029,0.9524337234028591,1.3384505969311251,1.1097527582402558,1.225283686719097,1.2606532700954753,1.1143274247824126,1.265083782884938,1.1194092966802731,0.8870223075413968,1.2709566584294396,1.1464198738548574,1.147445126028479,1.5068159407107038,1.4474610791721751,1.172526677484048,1.2284922320931677,1.0136641413127898,1.2384083702930198,1.2129098177827302,1.2686673750049007
Uster,3.904033035401971,3.6601730820521805,4.116465534895356,3.955915126711488,4.47929651300004,4.396841765254409,4.153031311474229,4.612150723640259,4.182053576128866,3.8013377201676293,3.4960131782398807,5.525249220526776,4.814046452411633,4.889254316788251,4.33145703523411,4.61871034513416,4.449062603122391,4.434415143798806,3.9750839954607633,4.307494455199232,4.091132106552583,3.067241167012827,4.09925605887664,4.0148234444665984,5.656480335852163,2.9983695708637463,3.9567051630006893,4.473277855748061,4.803292798556033,4.012768684413046,4.253583326914304,3.9292646468134946,4.087905635355066,3.8541752276293915,3.319202181271761,3.859846763294431,7.98642045459744,4.179877156433522,4.265270552904215,4.906889333723512,4.75074982322059,4.131558489517466,4.21241817648477,4.18234697590321,3.7029047421764516,4.004777240519563,3.8870294230989026,3.5370592392833404,3.481209144582101,4.587966057407443,4.417486406180948,4.790157504181496,4.611265804067302,4.4874306840956795,3.9809922959888264,4.495926854492442,4.208996703371344,4.36981626733897,3.6129624138671237,4.240800903068903,5.373290886887485,5.142570533749312,4.959292834690685,3.9900160281540757,4.3849768372338405,4.870087490571774,4.088517226032937,4.743095465961273,4.370670089572063,4.0465916355751,3.9629147915825884,3.709259735486673,3.082987832562501,4.43484340250429,4.375651333836361,4.353069614552753,4.743565629218919,4.433590756961299,3.96361230852769,4.231338005376474,3.4323787724680273,3.8405681519657207,4.239146388895543,3.5736542360968713
Winterthur,1.7679758537407704,1.7779266759413692,1.9419464537427356,1.9463859297047754,2.148417087441275,2.205554888019432,1.9829771533432459,1.9855579394413625,1.9670968099045976,1.8438327595411164,1.6152540714413142,2.8381306974290204,2.2161681699841735,2.3391981371242023,2.2120807052175726,2.1517639585940405,2.2350226572369585,2.1784403390226412,1.7190106040781266,1.809405757068871,1.9241636706478722,1.6622397821499955,2.0822608245910668,2.032201639452897,2.670867482963814,1.6445477691349202,1.748240387002077,1.9583313063758545,2.3512259787537557,1.7436273480896523,2.1866960141916763,1.7108733293859928,1.8686471832823592,1.9275894701906413,1.759762616825953,1.7920703094277761,3.2007525515864117,2.1442887343800656,2.2472700630585387,2.5032810971096704,2.386363277330835,2.364445507265236,2.281090248617404,2.0996689133254,2.0441753530920765,2.0773208614925562,2.0866556655022532,1.5771541961804432,1.862531613520909,1.757674045716105,2.1663961232479805,2.4890880407293734,2.3526935925194774,2.3425024371447662,2.044544139857495,2.1043610716055494,2.043390097264124,2.103057852341146,1.7555922913270183,1.7939229641870533,2.2820093323039807,2.300361279825749,2.34642159732198,1.9585022145250663,1.8976795659779977,2.5035887039043287,2.088945543017962,2.1117946435303314,2.0558162145467143,1.9232341564593634,1.5504238897222693,1.6962241309552288,1.355654922613376,1.9112597759754686,2.0377755841565413,2.088417086128954,2.4065990700297024,2.3838081579478736,1.9800889095662815,2.0083188041940323,1.5170360831710965,1.99823977008874,1.9536367293072943,1.7672810935915142
